State,Month,ManagedCareParticipation,CountEnrolled,DQUnusable
California,201601,"Comprehensive managed care","10,371,034",
California,201601,"Primary care case management",836,"Not assessed"
California,201601,"MLTSS, including PACE","5,731","Not assessed"
California,201601,"Behavioral health organizations",0,"Not assessed"
California,201601,"Nonmedical prepaid health plans","933,923","Not assessed"
California,201601,"Medical-only prepaid health plans",0,"Not assessed"
California,201601,Other,0,"Not assessed"
California,201602,"Comprehensive managed care","10,466,590",
California,201602,"Primary care case management",837,"Not assessed"
California,201602,"MLTSS, including PACE","5,760","Not assessed"
California,201602,"Behavioral health organizations",0,"Not assessed"
California,201602,"Nonmedical prepaid health plans","945,649","Not assessed"
California,201602,"Medical-only prepaid health plans",0,"Not assessed"
California,201602,Other,0,"Not assessed"
California,201603,"Comprehensive managed care","10,555,661",
California,201603,"Primary care case management",823,"Not assessed"
California,201603,"MLTSS, including PACE","5,831","Not assessed"
California,201603,"Behavioral health organizations",0,"Not assessed"
California,201603,"Nonmedical prepaid health plans","959,153","Not assessed"
California,201603,"Medical-only prepaid health plans",0,"Not assessed"
California,201603,Other,0,"Not assessed"
California,201604,"Comprehensive managed care","10,563,583",
California,201604,"Primary care case management",817,"Not assessed"
California,201604,"MLTSS, including PACE","5,911","Not assessed"
California,201604,"Behavioral health organizations",0,"Not assessed"
California,201604,"Nonmedical prepaid health plans","955,511","Not assessed"
California,201604,"Medical-only prepaid health plans",0,"Not assessed"
California,201604,Other,0,"Not assessed"
California,201605,"Comprehensive managed care","10,593,139",
California,201605,"Primary care case management",810,"Not assessed"
California,201605,"MLTSS, including PACE","5,971","Not assessed"
California,201605,"Behavioral health organizations",0,"Not assessed"
California,201605,"Nonmedical prepaid health plans","962,148","Not assessed"
California,201605,"Medical-only prepaid health plans",0,"Not assessed"
California,201605,Other,0,"Not assessed"
California,201606,"Comprehensive managed care","10,681,295",
California,201606,"Primary care case management",805,"Not assessed"
California,201606,"MLTSS, including PACE","6,023","Not assessed"
California,201606,"Behavioral health organizations",0,"Not assessed"
California,201606,"Nonmedical prepaid health plans","966,865","Not assessed"
California,201606,"Medical-only prepaid health plans",0,"Not assessed"
California,201606,Other,0,"Not assessed"
California,201607,"Comprehensive managed care","10,684,091",
California,201607,"Primary care case management",796,"Not assessed"
California,201607,"MLTSS, including PACE","6,085","Not assessed"
California,201607,"Behavioral health organizations",0,"Not assessed"
California,201607,"Nonmedical prepaid health plans","949,117","Not assessed"
California,201607,"Medical-only prepaid health plans",0,"Not assessed"
California,201607,Other,0,"Not assessed"
California,201608,"Comprehensive managed care","10,734,772",
California,201608,"Primary care case management",786,"Not assessed"
California,201608,"MLTSS, including PACE","6,135","Not assessed"
California,201608,"Behavioral health organizations",0,"Not assessed"
California,201608,"Nonmedical prepaid health plans","943,958","Not assessed"
California,201608,"Medical-only prepaid health plans",0,"Not assessed"
California,201608,Other,0,"Not assessed"
California,201609,"Comprehensive managed care","10,727,473",
California,201609,"Primary care case management",770,"Not assessed"
California,201609,"MLTSS, including PACE","6,182","Not assessed"
California,201609,"Behavioral health organizations",0,"Not assessed"
California,201609,"Nonmedical prepaid health plans","935,430","Not assessed"
California,201609,"Medical-only prepaid health plans",0,"Not assessed"
California,201609,Other,0,"Not assessed"
California,201610,"Comprehensive managed care","10,807,894",
California,201610,"Primary care case management",761,"Not assessed"
California,201610,"MLTSS, including PACE","6,252","Not assessed"
California,201610,"Behavioral health organizations",0,"Not assessed"
California,201610,"Nonmedical prepaid health plans","937,114","Not assessed"
California,201610,"Medical-only prepaid health plans",0,"Not assessed"
California,201610,Other,0,"Not assessed"
California,201611,"Comprehensive managed care","10,821,048",
California,201611,"Primary care case management",758,"Not assessed"
California,201611,"MLTSS, including PACE","6,343","Not assessed"
California,201611,"Behavioral health organizations",0,"Not assessed"
California,201611,"Nonmedical prepaid health plans","937,620","Not assessed"
California,201611,"Medical-only prepaid health plans",0,"Not assessed"
California,201611,Other,0,"Not assessed"
California,201612,"Comprehensive managed care","10,841,438",
California,201612,"Primary care case management",743,"Not assessed"
California,201612,"MLTSS, including PACE","6,350","Not assessed"
California,201612,"Behavioral health organizations",0,"Not assessed"
California,201612,"Nonmedical prepaid health plans","936,923","Not assessed"
California,201612,"Medical-only prepaid health plans",0,"Not assessed"
California,201612,Other,0,"Not assessed"
California,201701,"Comprehensive managed care","10,804,082",
California,201701,"Primary care case management",734,"Not assessed"
California,201701,"MLTSS, including PACE","6,406","Not assessed"
California,201701,"Behavioral health organizations",0,"Not assessed"
California,201701,"Nonmedical prepaid health plans","922,053","Not assessed"
California,201701,"Medical-only prepaid health plans",0,"Not assessed"
California,201701,Other,0,"Not assessed"
California,201702,"Comprehensive managed care","10,849,388",
California,201702,"Primary care case management",723,"Not assessed"
California,201702,"MLTSS, including PACE","6,455","Not assessed"
California,201702,"Behavioral health organizations",0,"Not assessed"
California,201702,"Nonmedical prepaid health plans","921,205","Not assessed"
California,201702,"Medical-only prepaid health plans",0,"Not assessed"
California,201702,Other,0,"Not assessed"
California,201703,"Comprehensive managed care","10,879,298",
California,201703,"Primary care case management",725,"Not assessed"
California,201703,"MLTSS, including PACE","6,524","Not assessed"
California,201703,"Behavioral health organizations",0,"Not assessed"
California,201703,"Nonmedical prepaid health plans","923,493","Not assessed"
California,201703,"Medical-only prepaid health plans",0,"Not assessed"
California,201703,Other,0,"Not assessed"
California,201704,"Comprehensive managed care","10,888,294",
California,201704,"Primary care case management",716,"Not assessed"
California,201704,"MLTSS, including PACE","6,609","Not assessed"
California,201704,"Behavioral health organizations",0,"Not assessed"
California,201704,"Nonmedical prepaid health plans","919,342","Not assessed"
California,201704,"Medical-only prepaid health plans",0,"Not assessed"
California,201704,Other,0,"Not assessed"
California,201705,"Comprehensive managed care","10,891,402",
California,201705,"Primary care case management",699,"Not assessed"
California,201705,"MLTSS, including PACE","6,711","Not assessed"
California,201705,"Behavioral health organizations",0,"Not assessed"
